id,shopId,locationId,productId,productName,action,changeBaseQty,oldStockBaseQty,newStockBaseQty,purchaseBillAmount,purchaseBillAmountPaise,calculatedBuyRate,calculatedBuyRatePaise,invoiceNumber,purchasePaymentStatus,purchasePaymentMode,purchasePaidAmount,purchasePaidAmountPaise,purchaseDueAmount,purchaseDueAmountPaise,purchaseDueDate,supplierName,damageLossValue,damageLossValuePaise,billId,clientMovementId,idempotencyKey,sourceDeviceId,sourceType,sourceId,note,createdAt,updatedAt
cms4xrxok8ad72y2hjw0yzb7r,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1ewj00as2y2h7bfvjjog,Maggi Noodles 8-pack,sale,-1,44,43,0,,0,,,paid,,0,,0,,,,0,,cms4xrxo98acv2y2hzepdrxfu,sim-2026-07-25-11994-460031:stock:cms4x1ewj00as2y2h7bfvjjog,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-2-tablet:sim-2026-07-25-11994-460031:stock:cms4x1ewj00as2y2h7bfvjjog,sim-counter-2-tablet,bill,cms4xrxo98acv2y2hzepdrxfu,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.896Z
cms4xrxnb8aci2y2h2jaagg9t,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1fhy00cs2y2h2krlx8w0,Frooti 200ml,sale,-1,319,318,0,,0,,,paid,,0,,0,,,,0,,cms4xrxmq8abz2y2htyrsm5bu,sim-2026-07-25-11993-512714:stock:cms4x1fhy00cs2y2h2krlx8w0,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11993-512714:stock:cms4x1fhy00cs2y2h2krlx8w0,sim-counter-desktop-01,bill,cms4xrxmq8abz2y2htyrsm5bu,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.841Z
cms4xrxn88acg2y2hnz78qztq,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1fml00da2y2h2p9t5t3q,Fortune Sunflower Oil 1L,sale,-3,98,95,0,,0,,,paid,,0,,0,,,,0,,cms4xrxmq8abz2y2htyrsm5bu,sim-2026-07-25-11993-512714:stock:cms4x1fml00da2y2h2p9t5t3q,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11993-512714:stock:cms4x1fml00da2y2h2p9t5t3q,sim-counter-desktop-01,bill,cms4xrxmq8abz2y2htyrsm5bu,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.841Z
cms4xrxn48ace2y2hho94cpb1,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1ehi009a2y2h9wqaun2a,Britannia Marie Gold 250g,sale,-1,108,107,0,,0,,,paid,,0,,0,,,,0,,cms4xrxmq8abz2y2htyrsm5bu,sim-2026-07-25-11993-512714:stock:cms4x1ehi009a2y2h9wqaun2a,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11993-512714:stock:cms4x1ehi009a2y2h9wqaun2a,sim-counter-desktop-01,bill,cms4xrxmq8abz2y2htyrsm5bu,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.841Z
cms4xrxn18acc2y2hq16xs4oq,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1hl500k12y2h3grqn4ky,Dairy Milk 50g,sale,-1,104,103,0,,0,,,paid,,0,,0,,,,0,,cms4xrxmq8abz2y2htyrsm5bu,sim-2026-07-25-11993-512714:stock:cms4x1hl500k12y2h3grqn4ky,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11993-512714:stock:cms4x1hl500k12y2h3grqn4ky,sim-counter-desktop-01,bill,cms4xrxmq8abz2y2htyrsm5bu,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.841Z
cms4xrxlw8abm2y2h8rvfq6e9,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1dd3005a2y2hryxfe9bd,Onion,sale,-500,36516,36016,0,,0,,,paid,,0,,0,,,,0,,cms4xrxlk8aba2y2ha0os2ovd,sim-2026-07-25-11992-524940:stock:cms4x1dd3005a2y2hryxfe9bd,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-manager-mobile:sim-2026-07-25-11992-524940:stock:cms4x1dd3005a2y2hryxfe9bd,sim-manager-mobile,bill,cms4xrxlk8aba2y2ha0os2ovd,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.800Z
cms4xrxlt8abk2y2h4pmeh9n3,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1gw600hs2y2hitetmlyi,Ariel Detergent 1kg,sale,-1,37,36,0,,0,,,paid,,0,,0,,,,0,,cms4xrxlk8aba2y2ha0os2ovd,sim-2026-07-25-11992-524940:stock:cms4x1gw600hs2y2hitetmlyi,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-manager-mobile:sim-2026-07-25-11992-524940:stock:cms4x1gw600hs2y2hitetmlyi,sim-manager-mobile,bill,cms4xrxlk8aba2y2ha0os2ovd,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.800Z
cms4xrxlr8abi2y2h6kpqtb87,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1fwe00ea2y2hrjm6lmls,Aashirvaad Atta 5kg,sale,-1,74,73,0,,0,,,paid,,0,,0,,,,0,,cms4xrxlk8aba2y2ha0os2ovd,sim-2026-07-25-11992-524940:stock:cms4x1fwe00ea2y2hrjm6lmls,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-manager-mobile:sim-2026-07-25-11992-524940:stock:cms4x1fwe00ea2y2hrjm6lmls,sim-manager-mobile,bill,cms4xrxlk8aba2y2ha0os2ovd,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.800Z
cms4xrxkq8aav2y2hzed7lpgl,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1eri00aa2y2ht2lzmklh,Lays Classic Salted 52g,sale,-1,219,218,0,,0,,,paid,,0,,0,,,,0,,cms4xrxke8aag2y2hv59qt000,sim-2026-07-25-11991-494991:stock:cms4x1eri00aa2y2ht2lzmklh,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-2-tablet:sim-2026-07-25-11991-494991:stock:cms4x1eri00aa2y2ht2lzmklh,sim-counter-2-tablet,bill,cms4xrxke8aag2y2hv59qt000,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.758Z
cms4xrxko8aat2y2hikc6xyva,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1dx7007a2y2hc04m43ej,Amul Butter 100g,sale,-1,59,58,0,,0,,,paid,,0,,0,,,,0,,cms4xrxke8aag2y2hv59qt000,sim-2026-07-25-11991-494991:stock:cms4x1dx7007a2y2hc04m43ej,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-2-tablet:sim-2026-07-25-11991-494991:stock:cms4x1dx7007a2y2hc04m43ej,sim-counter-2-tablet,bill,cms4xrxke8aag2y2hv59qt000,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.758Z
cms4xrxkm8aar2y2hpehzf6w8,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1h1w00ia2y2hn8ylo9dv,Vim Dishwash Bar 200g,sale,-1,184,183,0,,0,,,paid,,0,,0,,,,0,,cms4xrxke8aag2y2hv59qt000,sim-2026-07-25-11991-494991:stock:cms4x1h1w00ia2y2hn8ylo9dv,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-2-tablet:sim-2026-07-25-11991-494991:stock:cms4x1h1w00ia2y2hn8ylo9dv,sim-counter-2-tablet,bill,cms4xrxke8aag2y2hv59qt000,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.758Z
cms4xrxkk8aap2y2hye6s8kob,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1e9u008j2y2hg33d14zv,Britannia Brown Bread,sale,-1,37,36,0,,0,,,paid,,0,,0,,,,0,,cms4xrxke8aag2y2hv59qt000,sim-2026-07-25-11991-494991:stock:cms4x1e9u008j2y2hg33d14zv,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-2-tablet:sim-2026-07-25-11991-494991:stock:cms4x1e9u008j2y2hg33d14zv,sim-counter-2-tablet,bill,cms4xrxke8aag2y2hv59qt000,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.758Z
cms4xrxjm8aa32y2hydmm9akd,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1ci6002a2y2h5sl9xkaa,Wheat Atta (loose),sale,-250,87250,87000,0,,0,,,paid,,0,,0,,,,0,,cms4xrxil8a8z2y2hgpqukwsb,sim-2026-07-25-11990-679031:stock:cms4x1ci6002a2y2h5sl9xkaa,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11990-679031:stock:cms4x1ci6002a2y2h5sl9xkaa,sim-counter-desktop-01,bill,cms4xrxil8a8z2y2hgpqukwsb,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.690Z
cms4xrxjj8aa12y2hqsvpdziw,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1gyw00i12y2hd7juy2x2,Nirma Washing Powder 1kg,sale,-1,87,86,0,,0,,,paid,,0,,0,,,,0,,cms4xrxil8a8z2y2hgpqukwsb,sim-2026-07-25-11990-679031:stock:cms4x1gyw00i12y2hd7juy2x2,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11990-679031:stock:cms4x1gyw00i12y2hd7juy2x2,sim-counter-desktop-01,bill,cms4xrxil8a8z2y2hgpqukwsb,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.690Z
cms4xrxjg8a9z2y2hx2is3h43,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1dx7007a2y2hc04m43ej,Amul Butter 100g,sale,-2,61,59,0,,0,,,paid,,0,,0,,,,0,,cms4xrxil8a8z2y2hgpqukwsb,sim-2026-07-25-11990-679031:stock:cms4x1dx7007a2y2hc04m43ej,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11990-679031:stock:cms4x1dx7007a2y2hc04m43ej,sim-counter-desktop-01,bill,cms4xrxil8a8z2y2hgpqukwsb,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.690Z
cms4xrxjd8a9x2y2hk60orrwv,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1fd200ca2y2h8h84kfa8,Coca-Cola 750ml,sale,-1,109,108,0,,0,,,paid,,0,,0,,,,0,,cms4xrxil8a8z2y2hgpqukwsb,sim-2026-07-25-11990-679031:stock:cms4x1fd200ca2y2h8h84kfa8,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11990-679031:stock:cms4x1fd200ca2y2h8h84kfa8,sim-counter-desktop-01,bill,cms4xrxil8a8z2y2hgpqukwsb,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.690Z
cms4xrxjb8a9v2y2hx0s48drh,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1h4u00ij2y2hgzl42j9o,Vim Liquid 500ml,sale,-1,30,29,0,,0,,,paid,,0,,0,,,,0,,cms4xrxil8a8z2y2hgpqukwsb,sim-2026-07-25-11990-679031:stock:cms4x1h4u00ij2y2hgzl42j9o,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11990-679031:stock:cms4x1h4u00ij2y2hgzl42j9o,sim-counter-desktop-01,bill,cms4xrxil8a8z2y2hgpqukwsb,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.690Z
cms4xrxj88a9t2y2hd9y6i0xl,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1ckq002j2y2hclqar1cp,Toor Dal (loose),sale,-250,18837,18587,0,,0,,,paid,,0,,0,,,,0,,cms4xrxil8a8z2y2hgpqukwsb,sim-2026-07-25-11990-679031:stock:cms4x1ckq002j2y2hclqar1cp,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11990-679031:stock:cms4x1ckq002j2y2hclqar1cp,sim-counter-desktop-01,bill,cms4xrxil8a8z2y2hgpqukwsb,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.690Z
cms4xrxj68a9r2y2h5idhxeao,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1fyz00ej2y2hxqa0jq61,MDH Garam Masala 100g,sale,-2,80,78,0,,0,,,paid,,0,,0,,,,0,,cms4xrxil8a8z2y2hgpqukwsb,sim-2026-07-25-11990-679031:stock:cms4x1fyz00ej2y2hxqa0jq61,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11990-679031:stock:cms4x1fyz00ej2y2hxqa0jq61,sim-counter-desktop-01,bill,cms4xrxil8a8z2y2hgpqukwsb,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.690Z
cms4xrxj38a9p2y2hz5cubwwh,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1eri00aa2y2ht2lzmklh,Lays Classic Salted 52g,sale,-2,221,219,0,,0,,,paid,,0,,0,,,,0,,cms4xrxil8a8z2y2hgpqukwsb,sim-2026-07-25-11990-679031:stock:cms4x1eri00aa2y2ht2lzmklh,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11990-679031:stock:cms4x1eri00aa2y2ht2lzmklh,sim-counter-desktop-01,bill,cms4xrxil8a8z2y2hgpqukwsb,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.690Z
cms4xrxj18a9n2y2hc6e5b3db,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1dzj007j2y2hv0cbtxof,Amul Masti Dahi 400g,sale,-1,64,63,0,,0,,,paid,,0,,0,,,,0,,cms4xrxil8a8z2y2hgpqukwsb,sim-2026-07-25-11990-679031:stock:cms4x1dzj007j2y2hv0cbtxof,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11990-679031:stock:cms4x1dzj007j2y2hv0cbtxof,sim-counter-desktop-01,bill,cms4xrxil8a8z2y2hgpqukwsb,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.690Z
cms4xrxiy8a9l2y2h2bi0y1hu,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1cd5001s2y2hdlnnlejj,Sona Masoori Rice (loose),sale,-500,96090,95590,0,,0,,,paid,,0,,0,,,,0,,cms4xrxil8a8z2y2hgpqukwsb,sim-2026-07-25-11990-679031:stock:cms4x1cd5001s2y2hdlnnlejj,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11990-679031:stock:cms4x1cd5001s2y2hdlnnlejj,sim-counter-desktop-01,bill,cms4xrxil8a8z2y2hgpqukwsb,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.690Z
cms4xrxiv8a9j2y2hcnfo7k2s,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1fhy00cs2y2h2krlx8w0,Frooti 200ml,sale,-3,322,319,0,,0,,,paid,,0,,0,,,,0,,cms4xrxil8a8z2y2hgpqukwsb,sim-2026-07-25-11990-679031:stock:cms4x1fhy00cs2y2h2krlx8w0,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11990-679031:stock:cms4x1fhy00cs2y2h2krlx8w0,sim-counter-desktop-01,bill,cms4xrxil8a8z2y2hgpqukwsb,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.690Z
cms4xrxhn8a8m2y2hh97ifdbj,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1hnp00ka2y2h9xjef1u1,5 Star 25g,sale,-1,179,178,0,,0,,,paid,,0,,0,,,,0,,cms4xrxhe8a8d2y2h31kx7r7e,sim-2026-07-25-11989-433231:stock:cms4x1hnp00ka2y2h9xjef1u1,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11989-433231:stock:cms4x1hnp00ka2y2h9xjef1u1,sim-counter-desktop-01,bill,cms4xrxhe8a8d2y2h31kx7r7e,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.650Z
cms4xrxhk8a8k2y2hofkjonjj,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1dd3005a2y2hryxfe9bd,Onion,sale,-1000,37516,36516,0,,0,,,paid,,0,,0,,,,0,,cms4xrxhe8a8d2y2h31kx7r7e,sim-2026-07-25-11989-433231:stock:cms4x1dd3005a2y2hryxfe9bd,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-desktop-01:sim-2026-07-25-11989-433231:stock:cms4x1dd3005a2y2hryxfe9bd,sim-counter-desktop-01,bill,cms4xrxhe8a8d2y2h31kx7r7e,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.650Z
cms4xrxgl8a802y2htk0b5pvc,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1eu000aj2y2htqmn5knf,Maggi Noodles 70g,sale,-3,476,473,0,,0,,,paid,,0,,0,,,,0,,cms4xrxfp8a732y2hbrk645ew,sim-2026-07-25-11988-463440:stock:cms4x1eu000aj2y2htqmn5knf,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-2-tablet:sim-2026-07-25-11988-463440:stock:cms4x1eu000aj2y2htqmn5knf,sim-counter-2-tablet,bill,cms4xrxfp8a732y2hbrk645ew,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.589Z
cms4xrxgi8a7y2y2h417alssf,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1cxg003s2y2h85hmja46,Sugar (loose),sale,-1000,43016,42016,0,,0,,,paid,,0,,0,,,,0,,cms4xrxfp8a732y2hbrk645ew,sim-2026-07-25-11988-463440:stock:cms4x1cxg003s2y2h85hmja46,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-2-tablet:sim-2026-07-25-11988-463440:stock:cms4x1cxg003s2y2h85hmja46,sim-counter-2-tablet,bill,cms4xrxfp8a732y2hbrk645ew,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.589Z
cms4xrxgg8a7w2y2h9l0z3oyw,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1ehi009a2y2h9wqaun2a,Britannia Marie Gold 250g,sale,-4,112,108,0,,0,,,paid,,0,,0,,,,0,,cms4xrxfp8a732y2hbrk645ew,sim-2026-07-25-11988-463440:stock:cms4x1ehi009a2y2h9wqaun2a,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-2-tablet:sim-2026-07-25-11988-463440:stock:cms4x1ehi009a2y2h9wqaun2a,sim-counter-2-tablet,bill,cms4xrxfp8a732y2hbrk645ew,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.589Z
cms4xrxgd8a7u2y2h2lgawhec,cms4x1boo00052y2h3hfzrnkq,cms4x1j9a00rg2y2hggs38yul,cms4x1hfy00jj2y2hu6wjbb6f,Good Knight Refill 45ml,sale,-2,62,60,0,,0,,,paid,,0,,0,,,,0,,cms4xrxfp8a732y2hbrk645ew,sim-2026-07-25-11988-463440:stock:cms4x1hfy00jj2y2hu6wjbb6f,create-bill:cms4x1boo00052y2h3hfzrnkq:sim-counter-2-tablet:sim-2026-07-25-11988-463440:stock:cms4x1hfy00jj2y2hu6wjbb6f,sim-counter-2-tablet,bill,cms4xrxfp8a732y2hbrk645ew,,2026-07-25T07:00:00.000Z,2026-07-28T17:35:10.589Z
